id,date,source,score,title,text
"4125eb4d-5e5b-49a0-a9de-23700030e077","2025-11-16T13:18:34.932Z","google_play",1,"","nahi chahiye"
"f6d4aaaa-2a03-4048-ae8e-8ff988d896d9","2025-11-16T12:34:00.995Z","google_play",5,"","very good"
"13404986126","2025-11-16T12:24:16.000Z","app_store",5,"Convenient","So far this App is very good and lot of exposure to users"
"ba1198ba-1294-45ca-9484-79695bf9fd76","2025-11-16T10:54:07.104Z","google_play",5,"","I love it"
"143b8eda-faa4-408f-85d8-eae72f2168b3","2025-11-16T10:32:56.878Z","google_play",4,"","AMAZING"
"13404310761","2025-11-16T08:33:38.000Z","app_store",2,"Money deducted but recharge not found","I recharged my mobile using your app, but it showed “pending” even though the money was deducted from my account. I did not receive the recharge, and even after 48 hours, I neither got the recharge nor a refund. I also contacted your customer care, but I didn’t get any response."
"fe7e431a-94c1-453d-9330-81b9f9eb5fe5","2025-11-16T07:27:50.795Z","google_play",5,"","BEST EXPERIENCE"
"13403967318","2025-11-16T06:16:36.000Z","app_store",3,"Customise it for iPad","Please customise the app for iPad ????"
"3531e7d7-1786-4a99-ab96-2129f0e307de","2025-11-16T03:46:55.817Z","google_play",1,"","unable to login kindly help me. The problem is all about my previous gmail account which is not available"
"4da4cb91-14df-4b10-94f8-14363818ffc2","2025-11-16T02:52:03.926Z","google_play",5,"","help full app , very transparent , its nice choice"
"57618afa-ae41-4d58-b6a2-dacde3b17a8a","2025-11-15T19:38:26.879Z","google_play",5,"","💓"
"d2c8311a-3e59-4416-b0fb-3bd749ccc562","2025-11-15T17:04:49.144Z","google_play",5,"","super"
"b05adb76-db58-453e-b583-0abda4f51fc6","2025-11-15T16:41:46.240Z","google_play",1,"","zoho ko bhi sync kro bhai"
"3577ff7b-b352-43a0-a0fd-2532458e9d49","2025-11-15T15:55:49.315Z","google_play",4,"","good service"
"febc36ec-ae3d-41f8-a639-08f04ab587df","2025-11-15T15:45:38.525Z","google_play",4,"","When I was trying to convert my RI demat&MF account to NRO account, the CS representative requested me to translate the foreign address proof document to English. However, the same document was translated by ICICIBANK and HDFC banks by themselves during account conversion. I think if INDMoney really cares about customer to use their services seamlessly, they should have translation team to translate foreign address proofs for NRIs."
"b1a180ee-9d01-4b1c-962b-32bdb50edcca","2025-11-15T14:55:15.884Z","google_play",5,"","FANTASTIC VERY MUCH TRANSPARENT TECHNICALLY VERY SOUND"
"180d6052-9b03-4d34-a513-2598a12ecc6d","2025-11-15T12:41:14.560Z","google_play",5,"","Good"
"949b357e-9ec1-4712-b9e3-623379afe57f","2025-11-15T10:07:08.746Z","google_play",5,"","superb performance"
"32bee672-32c8-4f3a-87c4-944797fb62ba","2025-11-15T08:08:22.478Z","google_play",1,"","ok"
"13399995591","2025-11-15T07:56:50.000Z","app_store",1,"For Indian Stock they are useless","They don’t allow you to track bonds in the account there is not way to track bonds in the same place other than giving full Gmail access and god know what they will use from that full gmail acess"
"53dde875-cd1c-4bae-9dd4-cab84096d31b","2025-11-15T07:24:34.305Z","google_play",5,"","The application is nice and easy to access. It seems authentic as it takes all legal formalities like eSign and Aadhaar authentication while registering the application. Advisable to new investors."
"5808339e-8e90-4528-8ceb-9a4a29004e97","2025-11-15T07:12:09.850Z","google_play",1,"","late withdrawal"
"d5c7320e-90a9-4a35-8a0b-5287862f83a4","2025-11-15T06:34:50.304Z","google_play",5,"","good"
"9006dbe7-6e1a-4c02-a65d-05df25aea8c6","2025-11-15T04:42:16.877Z","google_play",2,"","good"
"c6fab18e-cff8-49f3-98d8-80c775939461","2025-11-15T03:44:27.336Z","google_play",5,"","very nice app easy too use and good staff and payment is very easy I love it"
"836ec913-5e99-4d9a-bf53-f8944cb11445","2025-11-15T02:37:25.423Z","google_play",5,"","good"
"b955179a-624f-4fee-923b-33c9ff41e49e","2025-11-15T00:35:28.804Z","google_play",5,"","Need advance Training please"
"4b65d16a-ef69-4b7a-82b5-3744cce76bde","2025-11-14T17:29:16.613Z","google_play",5,"","Best app for US stock investment"
"1ebb2f9b-77a6-4618-b6a2-5918ce6d96c7","2025-11-14T16:38:05.367Z","google_play",5,"","Good 👍"
"063665ce-79fc-4314-bc50-120c2e49770a","2025-11-14T16:31:10.143Z","google_play",5,"","good 👍"
"13397443582","2025-11-14T16:11:53.000Z","app_store",5,"Nice","Nice"
"2ebe3e2e-ec4f-4932-8fc9-2eb4107d04b2","2025-11-14T16:05:26.290Z","google_play",1,"","Why my tracker only showing Bank? Where is EPF and EPS? Why my window is different from others. Updated, still not working."
"b1e07029-001a-4724-acc9-cc9d036e71a4","2025-11-14T15:14:44.360Z","google_play",5,"","best in new users 🫵"
"8e6c12a9-0a89-4032-aa01-51ea6a771f6c","2025-11-14T14:32:52.772Z","google_play",4,"","okay"
"d0372cfc-df63-4b9a-bf98-4b7f1cda3f6e","2025-11-14T12:34:14.982Z","google_play",4,"","Us stocks investing through Indmoney is strictly not recommended, the backend is unstable and your account will be frozen regularly. The networth tracking feature pulled up my app rating from 1star to 4 stars. welldone"
"4ac410bb-4d83-438f-84cf-1754cce551c0","2025-11-14T12:29:55.992Z","google_play",1,"","I am an old customer of Indmoney Money but I have to face some issues like KYC recording. I had kept my account closed for 12 months, so the option of deactivation is coming and when I clicked, the problem should have been solved in three-four days, at the most it has not been solved yet and the reactivation option is showing on the dashboard of Indmoney, it will be solved in 30 minutes, next 30 minutes, now 10 days are about to complete and the KYC problem is not solved yet."
"7c2ec51f-1d96-4958-b671-5924fb3d0a2d","2025-11-14T12:29:42.362Z","google_play",5,"","best app ☺️"
"e4e87d9a-40fa-4b31-8854-0f474a802a79","2025-11-14T11:14:17.722Z","google_play",5,"","nice"
"3549fa26-4d2a-4988-b978-acdd8124e61b","2025-11-14T10:17:33.896Z","google_play",5,"","very good"
"a3365630-9fa1-4bbe-8995-e26a3d9a4173","2025-11-14T08:52:53.726Z","google_play",1,"","Unable to download reports"
"13395367140","2025-11-14T04:23:12.000Z","app_store",1,"Pretty Bad Helpdesk, don’t use for stocks","I am not able to sell the shares, since past 4 days I am trying to connect with support but I guess no one is there, it show they will call in 15 minutes but it’s like bogus.  Don’t use this app if you are opting to trade in stocks.  I am stuck with my Money."
"13395281350","2025-11-14T03:43:25.000Z","app_store",2,"Scam","This app takes an hour to update in the morning, and by then it's already scamming BTSC users. If you try to change the indicator inputs, they won't change."
"b0cab17b-5a42-4aae-ba89-7952bb4d6ddc","2025-11-14T03:28:21.703Z","google_play",5,"","good 😊"
"c413031a-b385-49aa-a753-3b05be676ade","2025-11-14T03:06:55.763Z","google_play",5,"","very good app for locals as well as NRI s"
"eaca104f-ec9f-4355-bcbc-94421d8e3c10","2025-11-14T02:22:23.905Z","google_play",5,"","great, lots of improvment made by team specially in trading, pnl etc...now please provide a stong full api support like option chain data through api etc"
"142ec184-efec-49da-8420-baa36851e153","2025-11-14T02:16:09.915Z","google_play",3,"","need more instruments on chart reading in F and O"
"f556fc45-06cb-4384-a256-30dae6823bc3","2025-11-13T19:47:39.852Z","google_play",5,"","super"
"fa5fdaf3-10db-4cc1-91cc-2072810b8b3f","2025-11-13T16:32:43.917Z","google_play",5,"","nice"
"2875c8c5-217b-416b-ab93-2ef94b67884d","2025-11-13T15:20:21.330Z","google_play",4,"","its has more features and datas for investing"
"a309d2e4-62c5-4230-a0c6-fe512917543d","2025-11-13T14:38:45.957Z","google_play",5,"","SUPER APP LOVE IT"
"13392959249","2025-11-13T13:54:48.000Z","app_store",5,"The best app for overseas investing","Whoever knows this app are gonna be that 1% Rich by investing in Nasdaq 😀"
"098b5e4d-3ea1-4951-bb2c-a017eab48660","2025-11-13T12:14:39.393Z","google_play",5,"","nice"
"f03a712d-7cce-4e93-a4f1-aff3265215d6","2025-11-13T10:17:03.329Z","google_play",5,"","good app"
"86e061b6-d319-4b6f-9e44-2cd497b16e94","2025-11-13T08:43:01.191Z","google_play",4,"","after new update raise ticket option is missing"
"21d19210-1d92-4a6a-a670-af0eb9cf1574","2025-11-13T05:57:13.485Z","google_play",5,"","very good"
"13391590706","2025-11-13T05:47:54.000Z","app_store",3,"Thakre","After update price refreshing slow.  RSI etc not getting"
"e1b716f5-b392-49b8-8658-9e829e3735cf","2025-11-13T04:37:23.676Z","google_play",5,"","Good"
"455fbc9f-8546-446a-a947-ad678ef0b19a","2025-11-13T04:22:25.959Z","google_play",5,"","good app"
"4236b773-ed3b-417a-b011-29c0b3bda7a4","2025-11-13T03:58:11.638Z","google_play",5,"","aap is not supported for full function. Sometimes the app hangs. could not continuity used."
"b215dba7-93c4-4574-842d-d9836c585c1f","2025-11-13T03:56:56.362Z","google_play",1,"","i raised so many compliments but not resolved"
"a786f9cc-6c8c-4298-9eca-5ce0bebd2e0d","2025-11-13T00:45:12.421Z","google_play",5,"","good"
"2873a97c-57d7-463d-bf52-f70a7c9cb429","2025-11-12T17:41:57.244Z","google_play",1,"","if it is financial app why do you need to listen to audio my health data and access to photos and videos.."
